"Plot11"
"Time (sec)","Acceleration1 (mm/sec**2)"
0,-1713.46279581337
0.0166666666666667,-1703.92497401874
0.0333333333333333,-1674.17843435081
0.05,-1624.70092129935
0.0666666666666667,-1556.29160209188
0.0833333333333333,-1470.06434011585
0.1,-1367.43680768434
0.116666666666667,-1250.11412080715
0.133333333333333,-1120.06551075698
0.15,-979.492565835933
0.166666666666667,-830.787837036332
0.183333333333333,-676.483145556726
0.2,-519.187770344695
0.216666666666667,-361.517790777997
0.233333333333333,-206.019119250457
0.25,-55.087998343687
0.266666666666667,89.1062317759722
0.283333333333333,224.690719326087
0.3,350.146381427376
0.316666666666667,464.343698897252
0.333333333333333,566.567832964209
0.35,656.50871464547
0.366666666666667,734.240219271191
0.383333333333333,800.177403655582
0.4,855.020810291206
0.416666666666667,899.692368982284
0.433333333333333,935.268192743314
0.45,962.913028723319
0.466666666666667,983.820127568162
0.483333333333333,999.159060402376
0.5,1010.03275790486
0.516666666666667,1017.44394054273
0.533333333333333,1022.27025797609
0.55,1025.24690012083
0.566666666666667,1026.95517309347
0.583333333333333,1027.81550926629
0.6,1028.08353324913
0.616666666666667,1027.84821745034
0.633333333333334,1027.0311622389
0.65,1025.38724434443
0.666666666666667,1022.5063614971
0.683333333333334,1017.81721179365
0.700000000000001,1010.59405171122
0.716666666666667,999.967795340281
0.733333333333334,984.942980124667
0.750000000000001,964.422114127004
0.766666666666667,937.238667527831
0.783333333333334,902.199434348043
0.800000000000001,858.136157417038
0.816666666666668,803.965217880028
0.833333333333334,738.752940874885
0.850000000000001,661.782827407788
0.866666666666668,572.620003316411
0.883333333333334,471.16760490491
0.900000000000001,357.70958556642
0.916666666666668,232.937568869847
0.933333333333335,97.9525515905801
0.950000000000001,-45.7492728285022
0.966666666666668,-196.315866987987
0.983333333333335,-351.594687692581
1,-509.201605077247
1.01666666666667,-666.597814090392
1.03333333333333,-821.169343784461
1.05,-970.304311208304
1.06666666666667,-1111.46406450425
1.08333333333333,-1242.24560594399
1.1,-1360.43393980884
1.11666666666667,-1464.04410564255
1.13333333333333,-1551.35351428598
1.15,-1620.92576731414
1.16666666666667,-1671.62741771153
1.18333333333333,-1702.63916194272
1.2,-1713.46279581337
1.21666666666667,-1703.92497401874
1.23333333333333,-1674.17843435081
1.25,-1624.70092129935
1.26666666666667,-1556.29160209187
1.28333333333333,-1470.06434011585
1.3,-1367.43680768433
1.31666666666667,-1250.11412080715
1.33333333333333,-1120.06551075698
1.35,-979.492565835933
1.36666666666667,-830.787837036332
1.38333333333333,-676.483145556731
1.4,-519.187770344701
1.41666666666667,-361.517790777999
1.43333333333333,-206.019119250463
1.45,-55.0879983436915
1.46666666666667,89.1062317759633
1.48333333333333,224.690719326083
1.5,350.145668600953
1.51666666666667,464.343698897247
1.53333333333333,566.567832964206
1.55,656.508714645468
1.56666666666667,734.240219271183
1.58333333333333,800.177403655579
1.6,855.020810291201
1.61666666666667,899.692368982282
1.63333333333333,935.268192743312
1.65,962.913028723318
1.66666666666667,983.82012756816
1.68333333333333,999.159060402374
1.7,1010.03275790486
1.71666666666667,1017.44394054273
1.73333333333333,1022.27025797609
1.75,1025.24690012083
1.76666666666667,1026.95517309347
1.78333333333333,1027.81550926629
1.8,1028.08354688994
1.81666666666667,1027.84821745034
1.83333333333333,1027.0311622389
1.85,1025.38724434443
1.86666666666666,1022.5063614971
1.88333333333333,1017.81721179365
1.9,1010.59405171122
1.91666666666666,999.967795340282
1.93333333333333,984.942980124671
1.95,964.422114127009
1.96666666666666,937.238667527838
1.98333333333333,902.199434348054
2,858.136157417052
2.01666666666666,803.965217880041
2.03333333333333,738.752940874903
2.05,661.782827407809
2.06666666666666,572.620003316436
2.08333333333333,471.167604904939
2.1,357.709794528865
2.11666666666666,232.937568869888
2.13333333333333,97.952551590624
2.15,-45.7492728284541
2.16666666666666,-196.315866987939
2.18333333333333,-351.594687692524
2.2,-509.201605077187
2.21666666666666,-666.597814090342
2.23333333333333,-821.169343784409
2.25,-970.304311208251
2.26666666666666,-1111.4640645042
2.28333333333333,-1242.24560594394
2.3,-1360.4339398088
2.31666666666666,-1464.04410564252
2.33333333333333,-1551.35351428596
2.35,-1620.92576731411
2.36666666666666,-1671.62741771152
2.38333333333333,-1702.63916194271
2.4,-1713.46279581337
2.41666666666666,-1703.92497401875
2.43333333333333,-1674.17843435082
2.45,-1624.70092129937
2.46666666666666,-1556.2916020919
2.48333333333333,-1470.06434011588
2.5,-1367.43680768438
2.51666666666666,-1250.1141208072
2.53333333333333,-1120.06551075703
2.55,-979.492565835986
2.56666666666666,-830.78783703639
2.58333333333333,-676.483145556791
2.6,-519.18777034476
2.61666666666666,-361.517790778056
2.63333333333333,-206.019119250525
2.65,-55.0879983437552
2.66666666666666,89.1062317759099
2.68333333333333,224.690719326032
2.7,350.145743147707
2.71666666666666,464.343698897202
2.73333333333333,566.567832964164
2.75,656.508714645432
2.76666666666666,734.240219271156
2.78333333333333,800.177403655557
2.79999999999999,855.020810291181
2.81666666666666,899.692368982266
2.83333333333333,935.2681927433
2.84999999999999,962.913028723307
2.86666666666666,983.820127568153
2.88333333333333,999.15906040237
2.89999999999999,1010.03275790486
2.91666666666666,1017.44394054273
2.93333333333333,1022.27025797608
2.94999999999999,1025.24690012083
2.96666666666666,1026.95517309346
2.98333333333333,1027.81550926629
2.99999999999999,1028.08354697425
3.01666666666666,1027.84821745034
3.03333333333333,1027.0311622389
3.04999999999999,1025.38724434443
3.06666666666666,1022.5063614971
3.08333333333333,1017.81721179365
