"Plot10"
"Time (sec)","Angular Displacement5 (deg)"
0,-0.158083572794632
0.0166666666666667,4.84191642720536
0.0333333333333333,9.84191642720536
0.05,14.8419164272054
0.0666666666666667,19.8419164272054
0.0833333333333333,24.8419164272054
0.1,29.8419164272054
0.116666666666667,34.8419164272053
0.133333333333333,39.8419164272053
0.15,44.8419164272053
0.166666666666667,49.8419164272053
0.183333333333333,54.8419164272054
0.2,59.8419164272054
0.216666666666667,64.8419164272053
0.233333333333333,69.8419164272053
0.25,74.8419164272053
0.266666666666667,79.8419164272053
0.283333333333333,84.8419164272053
0.3,89.8419164272053
0.316666666666667,94.8419164272053
0.333333333333333,99.8419164272053
0.35,104.841916427205
0.366666666666667,109.841916427205
0.383333333333333,114.841916427205
0.4,119.841916427205
0.416666666666667,124.841916427205
0.433333333333333,129.841916427205
0.45,134.841916427205
0.466666666666667,139.841916427205
0.483333333333333,144.841916427205
0.5,149.841916427205
0.516666666666667,154.841916427205
0.533333333333333,159.841916427205
0.55,164.841916427205
0.566666666666667,169.841916427205
0.583333333333333,174.841916427205
0.6,179.841916427205
0.616666666666667,-175.158083572795
0.633333333333334,-170.158083572795
0.65,-165.158083572795
0.666666666666667,-160.158083572795
0.683333333333334,-155.158083572795
0.700000000000001,-150.158083572795
0.716666666666667,-145.158083572795
0.733333333333334,-140.158083572794
0.750000000000001,-135.158083572794
0.766666666666667,-130.158083572794
0.783333333333334,-125.158083572794
0.800000000000001,-120.158083572794
0.816666666666668,-115.158083572794
0.833333333333334,-110.158083572794
0.850000000000001,-105.158083572794
0.866666666666668,-100.158083572794
0.883333333333334,-95.1580835727943
0.900000000000001,-90.1580835727943
0.916666666666668,-85.1580835727943
0.933333333333335,-80.1580835727943
0.950000000000001,-75.1580835727943
0.966666666666668,-70.1580835727943
0.983333333333335,-65.1580835727942
1,-60.1580835727942
1.01666666666667,-55.1580835727943
1.03333333333333,-50.1580835727943
1.05,-45.1580835727943
1.06666666666667,-40.1580835727944
1.08333333333333,-35.1580835727944
1.1,-30.1580835727944
1.11666666666667,-25.1580835727944
1.13333333333333,-20.1580835727944
1.15,-15.1580835727944
1.16666666666667,-10.1580835727944
1.18333333333333,-5.15808357279445
1.2,-0.158083572794506
1.21666666666667,4.84191642720549
1.23333333333333,9.84191642720543
1.25,14.8419164272054
1.26666666666667,19.8419164272054
1.28333333333333,24.8419164272054
1.3,29.8419164272054
1.31666666666667,34.8419164272054
1.33333333333333,39.8419164272054
1.35,44.8419164272054
1.36666666666667,49.8419164272054
1.38333333333333,54.8419164272053
1.4,59.8419164272053
1.41666666666667,64.8419164272053
1.43333333333333,69.8419164272052
1.45,74.8419164272052
1.46666666666667,79.8419164272051
1.48333333333333,84.8419164272052
1.5,89.8419164272051
1.51666666666667,94.8419164272051
1.53333333333333,99.8419164272051
1.55,104.841916427205
1.56666666666667,109.841916427205
1.58333333333333,114.841916427205
1.6,119.841916427205
1.61666666666667,124.841916427205
1.63333333333333,129.841916427205
1.65,134.841916427205
1.66666666666667,139.841916427205
1.68333333333333,144.841916427205
1.7,149.841916427205
1.71666666666667,154.841916427205
1.73333333333333,159.841916427205
1.75,164.841916427205
1.76666666666667,169.841916427205
1.78333333333333,174.841916427205
1.8,179.841916427205
1.81666666666667,-175.158083572795
1.83333333333333,-170.158083572795
1.85,-165.158083572795
1.86666666666666,-160.158083572795
1.88333333333333,-155.158083572795
1.9,-150.158083572795
1.91666666666666,-145.158083572796
1.93333333333333,-140.158083572796
1.95,-135.158083572796
1.96666666666666,-130.158083572796
1.98333333333333,-125.158083572796
2,-120.158083572796
2.01666666666666,-115.158083572796
2.03333333333333,-110.158083572796
2.05,-105.158083572796
2.06666666666666,-100.158083572796
2.08333333333333,-95.1580835727958
2.1,-90.1580835727959
2.11666666666666,-85.1580835727959
2.13333333333333,-80.1580835727959
2.15,-75.1580835727959
2.16666666666666,-70.1580835727959
2.18333333333333,-65.158083572796
2.2,-60.158083572796
2.21666666666666,-55.158083572796
2.23333333333333,-50.158083572796
2.25,-45.1580835727961
2.26666666666666,-40.1580835727962
2.28333333333333,-35.1580835727962
2.3,-30.1580835727962
2.31666666666666,-25.1580835727962
2.33333333333333,-20.1580835727963
2.35,-15.1580835727963
2.36666666666666,-10.1580835727963
2.38333333333333,-5.1580835727963
2.4,-0.158083572796301
2.41666666666666,4.84191642720359
2.43333333333333,9.84191642720359
2.45,14.8419164272036
2.46666666666666,19.8419164272036
2.48333333333333,24.8419164272036
2.5,29.8419164272035
2.51666666666666,34.8419164272035
2.53333333333333,39.8419164272034
2.55,44.8419164272034
2.56666666666666,49.8419164272033
2.58333333333333,54.8419164272033
2.6,59.8419164272033
2.61666666666666,64.8419164272033
2.63333333333333,69.8419164272032
2.65,74.8419164272032
2.66666666666666,79.8419164272032
2.68333333333333,84.8419164272032
2.7,89.8419164272032
2.71666666666666,94.8419164272031
2.73333333333333,99.8419164272031
2.75,104.841916427203
2.76666666666666,109.841916427203
2.78333333333333,114.841916427203
2.79999999999999,119.841916427203
2.81666666666666,124.841916427203
2.83333333333333,129.841916427203
2.84999999999999,134.841916427203
2.86666666666666,139.841916427203
2.88333333333333,144.841916427203
2.89999999999999,149.841916427203
2.91666666666666,154.841916427203
2.93333333333333,159.841916427203
2.94999999999999,164.841916427203
2.96666666666666,169.841916427203
2.98333333333333,174.841916427203
2.99999999999999,179.841916427203
3.01666666666666,-175.158083572797
3.03333333333333,-170.158083572797
3.04999999999999,-165.158083572797
3.06666666666666,-160.158083572797
3.08333333333333,-155.158083572797
