"Plot15"
"Time (sec)","Linear Displacement2 (mm)"
0,588.20056339656
0.0166666666666667,587.89179859179
0.0333333333333333,587.111271480411
0.05,585.86823814058
0.0666666666666667,584.177394412447
0.0833333333333333,582.058638069818
0.1,579.536744129775
0.116666666666667,576.640956602737
0.133333333333333,573.404501583002
0.15,569.864028588674
0.166666666666667,566.05898946268
0.183333333333333,562.030966856371
0.2,557.8229671772
0.216666666666667,553.478695558898
0.233333333333333,549.041832949015
0.25,544.555336606817
0.266666666666667,540.060786134087
0.283333333333333,535.597796027265
0.3,531.203570393684
0.316666666666667,526.912215867514
0.333333333333333,522.755018915927
0.35,518.759697597775
0.366666666666667,514.95061977374
0.383333333333333,511.348783779699
0.4,507.971947985186
0.416666666666667,504.834836384691
0.433333333333333,501.94940227554
0.45,499.325131453646
0.466666666666667,496.969367006153
0.483333333333333,494.887639409502
0.5,493.083987909585
0.516666666666667,491.561261727101
0.533333333333333,490.3213922022
0.55,489.365629346889
0.566666666666667,488.694738271587
0.583333333333333,488.309152531218
0.6,488.209082599136
0.616666666666667,488.394578476744
0.633333333333334,488.86554597091
0.65,489.621716530163
0.666666666666667,490.662570845808
0.683333333333334,491.987216820071
0.700000000000001,493.59422309919
0.716666666666667,495.481410269791
0.733333333333334,497.645603100658
0.750000000000001,500.082348918737
0.766666666666667,502.78560932265
0.783333333333334,505.747434874529
0.800000000000001,508.957635007401
0.816666666666668,512.403457896126
0.833333333333334,516.06929715379
0.850000000000001,519.936443585903
0.866666666666668,523.982900528667
0.883333333333334,528.183280254888
0.900000000000001,532.508799621214
0.916666666666668,536.927363653492
0.933333333333335,541.403810163218
0.950000000000001,545.90020374454
0.966666666666668,550.376285180316
0.983333333333335,554.78999774174
1,559.098096633919
1.01666666666667,563.256818858087
1.03333333333333,567.222591999587
1.05,570.952760050716
1.06666666666667,574.406304972768
1.08333333333333,577.544544890148
1.1,580.331791944069
1.11666666666667,582.735955845158
1.13333333333333,584.729081928886
1.15,586.287815158515
1.16666666666667,587.393783810933
1.18333333333333,588.033898465617
1.2,588.20056339656
1.21666666666667,587.89179859179
1.23333333333333,587.111271480411
1.25,585.86823814058
1.26666666666667,584.177394412447
1.28333333333333,582.058638069818
1.3,579.536744129775
1.31666666666667,576.640956602737
1.33333333333333,573.404501583002
1.35,569.864028588674
1.36666666666667,566.05898946268
1.38333333333333,562.030966856371
1.4,557.8229671772
1.41666666666667,553.478695558898
1.43333333333333,549.041832949015
1.45,544.555336606817
1.46666666666667,540.060786134087
1.48333333333333,535.597796027265
1.5,531.203513423187
1.51666666666667,526.912215867515
1.53333333333333,522.755018915927
1.55,518.759697597775
1.56666666666667,514.95061977374
1.58333333333333,511.348783779699
1.6,507.971947985186
1.61666666666667,504.834836384691
1.63333333333333,501.94940227554
1.65,499.325131453646
1.66666666666667,496.969367006153
1.68333333333333,494.887639409502
1.7,493.083987909585
1.71666666666667,491.561261727101
1.73333333333333,490.3213922022
1.75,489.365629346889
1.76666666666667,488.694738271587
1.78333333333333,488.309152531218
1.8,488.209107224711
1.81666666666667,488.394578476744
1.83333333333333,488.86554597091
1.85,489.621716530162
1.86666666666666,490.662570845808
1.88333333333333,491.987216820071
1.9,493.594223099189
1.91666666666666,495.48141026979
1.93333333333333,497.645603100657
1.95,500.082348918736
1.96666666666666,502.785609322649
1.98333333333333,505.747434874529
2,508.9576350074
2.01666666666666,512.403457896125
2.03333333333333,516.069297153789
2.05,519.936443585902
2.06666666666666,523.982900528665
2.08333333333333,528.183280254887
2.1,532.508796425887
2.11666666666666,536.92736365349
2.13333333333333,541.403810163216
2.15,545.900203744539
2.16666666666666,550.376285180314
2.18333333333333,554.789997741738
2.2,559.098096633918
2.21666666666666,563.256818858085
2.23333333333333,567.222591999586
2.25,570.952760050714
2.26666666666666,574.406304972767
2.28333333333333,577.544544890147
2.3,580.331791944068
2.31666666666666,582.735955845157
2.33333333333333,584.729081928885
2.35,586.287815158514
2.36666666666666,587.393783810933
2.38333333333333,588.033898465616
2.4,588.200563396559
2.41666666666666,587.89179859179
2.43333333333333,587.111271480411
2.45,585.868238140581
2.46666666666666,584.177394412448
2.48333333333333,582.058638069819
2.5,579.536744129776
2.51666666666666,576.640956602738
2.53333333333333,573.404501583004
2.55,569.864028588676
2.56666666666666,566.058989462682
2.58333333333333,562.030966856372
2.6,557.822967177201
2.61666666666666,553.4786955589
2.63333333333333,549.041832949017
2.65,544.555336606819
2.66666666666666,540.060786134089
2.68333333333333,535.597796027267
2.7,531.203513423189
2.71666666666666,526.912215867516
2.73333333333333,522.755018915928
2.75,518.759697597777
2.76666666666666,514.950619773741
2.78333333333333,511.3487837797
2.79999999999999,507.971947985187
2.81666666666666,504.834836384692
2.83333333333333,501.949402275541
2.84999999999999,499.325131453647
2.86666666666666,496.969367006154
2.88333333333333,494.887639409503
2.89999999999999,493.083987909586
2.91666666666666,491.561261727102
2.93333333333333,490.3213922022
2.94999999999999,489.36562934689
2.96666666666666,488.694738271587
2.98333333333333,488.309152531218
2.99999999999999,488.209086823156
3.01666666666666,488.394578476744
3.03333333333333,488.86554597091
3.04999999999999,489.621716530162
3.06666666666666,490.662570845807
3.08333333333333,491.98721682007
3.09999999999999,493.594223099189
3.11666666666666,495.48141026979
3.13333333333333,497.645603100656
3.14999999999999,500.082348918735
3.16666666666666,502.785609322648
3.18333333333333,505.747434874527
3.19999999999999,508.957635007399
3.21666666666666,512.403457896124
3.23333333333333,516.069297153787
3.24999999999999,519.9364435859
3.26666666666666,523.982900528664
3.28333333333333,528.183280254885
