"Plot9"
"Time (sec)","Velocity1 (mm/sec)"
0,0.902904648594111
0.0166666666666667,-27.6035835131491
0.0333333333333333,-55.78226359027
0.05,-83.2998552153514
0.0666666666666667,-109.833725898297
0.0833333333333333,-135.077196999732
0.1,-158.74470457133
0.116666666666667,-180.576735078694
0.133333333333333,-200.344432448372
0.15,-217.853747983513
0.166666666666667,-232.948982048142
0.183333333333333,-245.515550437638
0.2,-255.481803918328
0.216666666666667,-262.819741242562
0.233333333333333,-267.544487527448
0.25,-269.712462683861
0.266666666666667,-269.418236502087
0.283333333333333,-266.790152641476
0.3,-261.984861276918
0.316666666666667,-255.181244212882
0.333333333333333,-246.573367864039
0.35,-236.363961450985
0.366666666666667,-224.75763739896
0.383333333333333,-211.954864529123
0.4,-198.146730438684
0.416666666666667,-183.510709629803
0.433333333333333,-168.207532954307
0.45,-152.379169344212
0.466666666666667,-136.14785927415
0.483333333333333,-119.61608679278
0.5,-102.867345367879
0.516666666666667,-85.9675410578738
0.533333333333333,-68.9668811938073
0.55,-51.9021131661574
0.566666666666667,-34.7990011547334
0.583333333333333,-17.6749542568712
0.6,-0.539832287625535
0.616666666666667,16.5917318341788
0.633333333333334,33.7166625374916
0.65,50.8215408240432
0.666666666666667,67.8893952440961
0.683333333333334,84.8950689815265
0.700000000000001,101.80258448169
0.716666666666667,118.562654853523
0.733333333333334,135.110426980234
0.750000000000001,151.363566907929
0.766666666666667,167.220821600201
0.783333333333334,182.561208132635
0.800000000000001,197.243986959848
0.816666666666668,211.109565313534
0.833333333333334,223.981446517335
0.850000000000001,235.669289700055
0.866666666666668,245.973073927475
0.883333333333334,254.688276759581
0.900000000000001,261.611903352343
0.916666666666668,266.549004008783
0.933333333333335,269.319663713461
0.950000000000001,269.765596007316
0.966666666666668,267.756494398502
0.983333333333335,263.195511676358
1,256.023708908251
1.01666666666667,246.223281579546
1.03333333333333,233.81947496569
1.05,218.881187004169
1.06666666666667,201.520330017589
1.08333333333333,181.89007663207
1.1,160.182148231896
1.11666666666667,136.623317236781
1.13333333333333,111.471290959956
1.15,85.0101294049787
1.16666666666667,57.5453269978592
1.18333333333333,29.3986633808534
1.2,0.902904648593807
1.21666666666667,-27.60358351315
1.23333333333333,-55.7822635902709
1.25,-83.2998552153516
1.26666666666667,-109.833725898297
1.28333333333333,-135.077196999733
1.3,-158.74470457133
1.31666666666667,-180.576735078694
1.33333333333333,-200.344432448372
1.35,-217.853747983513
1.36666666666667,-232.948982048142
1.38333333333333,-245.515550437637
1.4,-255.481803918328
1.41666666666667,-262.819741242562
1.43333333333333,-267.544487527448
1.45,-269.712462683861
1.46666666666667,-269.418236502088
1.48333333333333,-266.790152641476
1.5,-261.984896374589
1.51666666666667,-255.181244212882
1.53333333333333,-246.573367864039
1.55,-236.363961450985
1.56666666666667,-224.757637398961
1.58333333333333,-211.954864529124
1.6,-198.146730438684
1.61666666666667,-183.510709629804
1.63333333333333,-168.207532954308
1.65,-152.379169344213
1.66666666666667,-136.147859274151
1.68333333333333,-119.616086792781
1.7,-102.867345367881
1.71666666666667,-85.9675410578754
1.73333333333333,-68.9668811938093
1.75,-51.9021131661594
1.76666666666667,-34.7990011547358
1.78333333333333,-17.6749542568733
1.8,-0.541720747528753
1.81666666666667,16.5917318341761
1.83333333333333,33.7166625374888
1.85,50.8215408240404
1.86666666666666,67.8893952440933
1.88333333333333,84.8950689815234
1.9,101.802584481687
1.91666666666666,118.56265485352
1.93333333333333,135.110426980231
1.95,151.363566907926
1.96666666666666,167.220821600197
1.98333333333333,182.561208132632
2,197.243986959845
2.01666666666666,211.10956531353
2.03333333333333,223.981446517332
2.05,235.669289700051
2.06666666666666,245.973073927471
2.08333333333333,254.688276759579
2.1,261.611893032271
2.11666666666666,266.549004008781
2.13333333333333,269.31966371346
2.15,269.765596007317
2.16666666666666,267.756494398503
2.18333333333333,263.195511676361
2.2,256.023708908254
2.21666666666666,246.22328157955
2.23333333333333,233.819474965695
2.25,218.881187004175
2.26666666666666,201.520330017596
2.28333333333333,181.890076632078
2.3,160.182148231905
2.31666666666666,136.623317236791
2.33333333333333,111.471290959965
2.35,85.0101294049881
2.36666666666666,57.5453269978695
2.38333333333333,29.3986633808638
2.4,0.902904648604176
2.41666666666666,-27.6035835131388
2.43333333333333,-55.7822635902605
2.45,-83.2998552153414
2.46666666666666,-109.833725898287
2.48333333333333,-135.077196999723
2.5,-158.744704571322
2.51666666666666,-180.576735078686
2.53333333333333,-200.344432448365
2.55,-217.853747983507
2.56666666666666,-232.948982048136
2.58333333333333,-245.515550437633
2.6,-255.481803918325
2.61666666666666,-262.81974124256
2.63333333333333,-267.544487527446
2.65,-269.712462683861
2.66666666666666,-269.418236502088
2.68333333333333,-266.790152641478
2.7,-261.984892704106
2.71666666666666,-255.181244212885
2.73333333333333,-246.573367864044
2.75,-236.36396145099
2.76666666666666,-224.757637398966
2.78333333333333,-211.954864529129
2.79999999999999,-198.14673043869
2.81666666666666,-183.510709629809
2.83333333333333,-168.207532954314
2.84999999999999,-152.379169344219
2.86666666666666,-136.147859274158
2.88333333333333,-119.616086792788
2.89999999999999,-102.867345367888
2.91666666666666,-85.9675410578821
2.93333333333333,-68.966881193816
2.94999999999999,-51.9021131661663
2.96666666666666,-34.7990011547423
2.98333333333333,-17.6749542568803
2.99999999999999,-0.541732420461214
3.01666666666666,16.5917318341693
3.03333333333333,33.7166625374818
3.04999999999999,50.8215408240336
3.06666666666666,67.8893952440861
3.08333333333333,84.8950689815171
3.09999999999999,101.80258448168
